질문,정답,결과,소요시간,점수
AI 관련된 최신 뉴스 기사 부탁해,AI,AI,15,
인공지능 관련 기사 좀 찾아줘,AI,인공지능,20,
AI 뉴스 기사 좀 보여줘,AI,Al,18,
AI 관련 뉴수 기사 신청할게,AI,AI,30,
AI 관련 뉴스 기사 신정할게,AI,AI,34,
AI관련 뉴스 기사 신청할게,AI,AI,30,
AI 관련뉴스 기사 신청할게,AI,Artificial Intelligence,40,
전기차와 배터리 산업의 최신 동향 기사 부탁해,"전기차, 배터리 산업","전기차, 배터리",20,
전기차와 배터리 트렌드 기사 찾아줘,"전기차, 배터리 산업","전기차, 배터리",110,
전기차 배터리 산업 트렌드 기사 좀 보여줘,"전기차, 배터리 산업","전기차, 배터리",10,
전기차와 배터리 산업 트렌드 기가 보고 싶어,"전기차, 배터리 산업","전기차, 배터리",15,
전기차와 배터리 산업 트렌드 기사 보구 싶어,"전기차, 배터리 산업","전기차, 배터리",19,
전기차와 배터리산업 트렌드 기사 보고 싶어,"전기차, 배터리 산업","전기차, 배터리",29,
전기차와 배터리 산업트렌드 기사 보고 싶어,"전기차, 배터리 산업","전기차, 배터리 산업",22,
한국 경제 전망 관련 기사 부탁해,"한국 경제, 전망","한국, 경제, 전망",39,
한국 경제의 미래 전망 기사 좀 찾아줘,"한국 경제, 전망","한국 경제, 전망",36,
한국 경제 전망 뉴스 기사 보여줘,"한국 경제, 전망","한국 경제, 전망",44,
한국 경제 전망에 대한 뉴수 기사 찾아줘,"한국 경제, 전망","한국 경제, 전망",65,
한국 경제 전망에 대한 뉴스 기가 찾아줘,"한국 경제, 전망","한국 경제, 전망",23,
한국 경제전망에 대한 뉴스 기사 찾아줘,"한국 경제, 전망","한국경제, 뉴스",500,
한국 경제 전망에대한 뉴스 기사 찾아줘,"한국 경제, 전망","한국, 경제, 전망, 뉴스",390,
